iter	RMSE
0	4223.558847
1	3973.334156
2	3757.125552
3	3565.260008
4	3402.060571
5	3255.333816
6	3120.987772
7	3005.33067
8	2897.149764
9	2802.575327
10	2727.529346
11	2649.947885
12	2585.314892
13	2526.703543
14	2477.550652
15	2435.527533
16	2394.892148
17	2361.806986
18	2329.883359
19	2296.6183
20	2266.801057
21	2242.294399
22	2221.321842
23	2202.280521
24	2185.189304
25	2168.172229
26	2154.764259
27	2141.135841
28	2129.29812
29	2118.18014
30	2108.512322
31	2099.919464
32	2091.981
33	2083.614193
34	2075.266857
35	2068.830477
36	2061.638487
37	2055.530368
38	2050.69087
39	2043.449583
40	2038.686749
41	2034.244846
42	2030.164166
43	2026.422085
44	2021.741067
45	2018.102353
46	2014.317709
47	2010.842399
48	2007.671673
49	2003.232283
50	1999.78478
51	1997.575909
52	1993.606909
53	1990.193072
54	1986.90453
55	1984.22497
56	1981.308921
57	1979.310712
58	1977.47139
59	1974.902282
60	1971.574687
61	1969.793763
62	1967.895934
63	1965.867921
64	1963.251051
65	1961.665773
66	1959.786583
67	1958.565767
68	1956.431104
69	1954.217006
70	1952.035221
71	1950.469483
72	1947.669723
73	1945.072871
74	1942.450869
75	1939.930482
76	1938.603538
77	1937.612842
78	1936.223046
79	1934.508396
80	1932.594927
81	1931.32936
82	1929.092449
83	1927.068625
84	1925.764283
85	1924.126309
86	1922.857767
87	1921.31906
88	1920.128997
89	1918.198666
90	1917.480097
91	1916.319572
92	1914.826872
93	1913.650005
94	1912.310213
95	1909.604723
96	1908.843167
97	1907.318628
98	1905.694966
99	1904.50764
100	1903.020265
101	1901.534317
102	1900.551155
103	1899.806064
104	1899.0299
105	1897.260902
106	1896.63292
107	1895.208314
108	1893.958492
109	1892.786803
110	1891.998445
111	1890.238081
112	1889.806656
113	1888.981269
114	1887.439612
115	1886.602582
116	1884.806256
117	1883.994045
118	1882.587228
119	1881.456526
120	1880.837256
121	1879.300706
122	1878.373801
123	1877.737233
124	1877.053514
125	1876.336959
126	1875.484113
127	1875.071422
128	1874.137511
129	1873.450223
130	1872.782399
131	1871.891262
132	1870.732244
133	1870.131787
134	1869.357869
135	1868.386934
136	1867.63429
137	1866.892172
138	1866.381086
139	1865.433991
140	1864.507491
141	1863.934963
142	1863.13144
143	1862.439227
144	1860.983845
145	1860.462851
146	1859.548688
147	1858.742601
148	1857.618632
149	1856.870183
150	1856.498791
151	1855.679702
152	1854.917106
153	1854.394143
154	1853.845161
155	1853.0625
156	1852.262777
157	1851.569755
158	1850.579174
159	1850.027763
160	1849.473046
161	1848.741698
162	1848.129101
163	1847.534269
164	1846.881103
165	1846.304928
166	1845.70069
167	1845.290218
168	1844.67764
169	1844.090432
170	1843.376488
171	1842.730765
172	1841.907644
173	1841.347246
174	1840.672836
175	1840.452677
176	1840.016779
177	1839.229897
178	1838.715109
179	1838.237257
180	1837.674295
181	1837.090009
182	1836.703334
183	1836.235102
184	1835.695299
185	1835.006775
186	1834.201787
187	1833.774258
188	1832.891444
189	1832.437525
190	1832.086352
191	1831.610087
192	1831.1051
193	1830.232793
194	1829.418612
195	1828.960094
196	1828.338372
197	1827.810961
198	1827.56028
199	1826.64955
200	1826.275715
201	1825.786113
202	1824.855409
203	1824.685078
204	1824.123896
205	1823.59929
206	1823.283262
207	1823.005849
208	1822.583759
209	1821.851223
210	1821.391935
211	1820.991901
212	1820.125787
213	1819.987241
214	1819.530703
215	1818.866732
216	1818.31077
217	1817.937437
218	1817.700294
219	1817.212984
220	1816.870212
221	1816.420967
222	1815.684931
223	1815.106995
224	1814.533218
225	1814.20677
226	1813.86248
227	1813.459265
228	1812.844515
229	1812.402294
230	1811.998888
231	1811.451906
232	1811.087131
233	1810.534655
234	1810.120897
235	1809.648507
236	1808.995265
237	1808.746417
238	1808.317076
239	1808.001419
240	1807.464153
241	1806.722073
242	1806.54437
243	1806.129553
244	1805.758293
245	1805.545964
246	1805.05715
247	1804.493186
248	1804.015057
249	1803.548193
