iter	Passed	Remaining
0	475	237431
1	879	219110
2	1146	189969
3	1470	182301
4	1740	172340
5	2105	173325
6	2446	172308
7	2779	170930
8	3103	169291
9	3493	171182
10	3816	169680
11	4088	166270
12	4409	165202
13	4728	164141
14	5024	162466
15	5337	161463
16	5639	160215
17	5921	158575
18	6154	155794
19	6488	155728
20	6832	155839
21	7140	155141
22	7449	154487
23	7736	153434
24	8020	152382
25	8335	151955
26	8577	150264
27	8862	149391
28	9219	149735
29	9493	148727
30	9792	148146
31	10034	146750
32	10348	146448
33	10627	145653
34	10873	144467
35	11201	144376
36	11486	143742
37	11805	143530
38	12108	143127
39	12413	142751
40	12724	142451
41	13047	142280
42	13317	141537
43	13629	141255
44	13881	140354
45	14164	139802
46	14470	139469
47	14737	138780
48	15030	138338
49	15301	137710
50	15606	137399
51	15961	137512
52	16262	137157
53	16560	136775
54	16853	136360
55	17105	135625
56	17400	135235
57	17664	134612
58	18021	134703
59	18302	134218
60	18636	134119
61	18927	133710
62	19239	133454
63	19509	132906
64	19781	132386
65	20072	131989
66	20323	131342
67	20586	130782
68	20771	129748
69	21084	129518
70	21385	129218
71	21686	128916
72	22006	128724
73	22371	128785
74	22618	128173
75	22975	128177
76	23299	127994
77	23650	127955
78	23964	127709
79	24303	127594
80	24629	127406
81	24934	127105
82	25243	126827
83	25525	126412
84	25817	126049
85	26166	125966
86	26493	125766
87	26787	125415
88	27049	124912
89	27365	124665
90	27677	124396
91	28037	124339
92	28362	124123
93	28814	124453
94	29164	124332
95	29478	124055
96	29857	124047
97	30070	123352
98	30289	122686
99	30616	122464
100	30892	122042
101	31242	121908
102	31581	121728
103	31935	121601
104	32284	121451
105	32542	120959
106	32817	120535
107	33095	120123
108	33343	119608
109	33631	119239
110	33955	118996
111	34185	118428
112	34512	118196
113	34807	117856
114	35166	117732
115	35472	117427
116	35851	117360
117	36150	117028
118	36475	116782
119	36796	116520
120	37040	116020
121	37287	115530
122	37549	115091
123	37828	114706
124	38102	114306
125	38424	114052
126	38701	113667
127	38990	113316
128	39233	112834
129	39516	112471
130	39796	112098
131	40068	111705
132	40352	111349
133	40591	110870
134	40914	110621
135	41200	110270
136	41483	109916
137	41758	109539
138	42010	109107
139	42297	108764
140	42600	108465
141	42868	108076
142	43154	107735
143	43466	107457
144	43721	107042
145	43972	106617
146	44278	106327
147	44494	105823
148	44792	105518
149	45096	105224
150	45376	104876
151	45637	104486
152	45886	104070
153	46190	103779
154	46487	103471
155	46766	103125
156	47041	102772
157	47345	102482
158	47664	102222
159	47952	101898
160	48260	101617
161	48536	101267
162	48814	100923
163	49103	100601
164	49382	100261
165	49621	99840
166	49893	99487
167	50190	99186
168	50474	98859
169	50772	98558
170	51069	98257
171	51372	97966
172	51656	97639
173	51907	97252
174	52179	96905
175	52463	96580
176	52723	96213
177	52998	95873
178	53249	95492
179	53531	95166
180	53782	94788
181	54030	94404
182	54329	94110
183	54638	93836
184	54847	93389
185	55152	93107
186	55405	92737
187	55701	92440
188	55993	92137
189	56326	91901
190	56564	91510
191	56849	91196
192	57132	90879
193	57405	90547
194	57616	90117
195	57881	89775
196	58154	89446
197	58446	89146
198	58701	88789
199	58952	88428
200	59269	88167
201	59548	87849
202	59826	87528
203	60131	87249
204	60363	86864
205	60637	86541
206	60896	86197
207	61153	85850
208	61464	85579
209	61684	85183
210	61939	84837
211	62197	84495
212	62403	84084
213	62716	83817
214	63000	83512
215	63286	83209
216	63570	82905
217	63862	82610
218	64098	82244
219	64343	81892
220	64615	81573
221	64883	81251
222	65098	80861
223	65422	80610
224	65699	80299
225	65907	79906
226	66261	79689
227	66542	79384
228	66777	79024
229	67078	78744
230	67378	78462
231	67662	78162
232	67951	77866
233	68234	77566
234	68534	77283
235	68822	76987
236	69120	76703
237	69397	76395
238	69686	76101
239	69887	75711
240	70163	75403
241	70398	75053
242	70680	74752
243	70950	74440
244	71252	74161
245	71449	73773
246	71748	73491
247	72022	73184
248	72292	72873
249	72546	72546
250	72815	72235
251	73120	71959
252	73419	71678
253	73610	71292
254	73892	70994
255	74193	70716
256	74415	70361
257	74678	70047
258	74914	69708
259	75174	69392
260	75425	69067
261	75721	68785
262	76015	68500
263	76216	68133
264	76458	67802
265	76724	67494
266	76980	67177
267	77242	66866
268	77537	66584
269	77836	66305
270	78102	65997
271	78395	65714
272	78658	65404
273	78951	65120
274	79204	64803
275	79456	64486
276	79774	64222
277	80084	63952
278	80373	63665
279	80645	63364
280	80823	62990
281	81153	62735
282	81424	62434
283	81703	62140
284	81902	61785
285	82228	61527
286	82473	61208
287	82720	60891
288	82965	60573
289	83311	60329
290	83540	59999
291	83795	59690
292	84090	59408
293	84382	59125
294	84672	58839
295	84984	58570
296	85336	58327
297	85597	58022
298	85903	57747
299	86229	57486
300	86474	57170
301	86753	56878
302	87022	56578
303	87336	56308
304	87603	56008
305	87891	55721
306	88213	55456
307	88536	55191
308	88816	54899
309	89156	54644
310	89439	54353
311	89718	54061
312	90024	53784
313	90310	53496
314	90571	53192
315	90838	52893
316	91096	52588
317	91385	52302
318	91658	52006
319	91954	51724
320	92205	51416
321	92473	51118
322	92708	50803
323	93049	50545
324	93309	50243
325	93619	49968
326	93919	49688
327	94232	49414
328	94542	49139
329	94812	48842
330	95059	48535
331	95319	48233
332	95598	47942
333	95839	47632
334	96152	47358
335	96431	47067
336	96649	46747
337	96901	46444
338	97145	46137
339	97434	45851
340	97701	45555
341	97996	45273
342	98251	44972
343	98534	44684
344	98799	44387
345	99007	44066
346	99306	43786
347	99595	43501
348	99884	43216
349	100176	42932
350	100490	42658
351	100816	42388
352	101118	42108
353	101426	41831
354	101667	41526
355	101963	41243
356	102264	40963
357	102524	40666
358	102791	40372
359	103082	40087
360	103370	39801
361	103664	39518
362	103917	39219
363	104259	38953
364	104574	38678
365	104895	38404
366	105116	38093
367	105390	37803
368	105683	37518
369	105926	37217
370	106191	36923
371	106508	36648
372	106768	36352
373	107033	36059
374	107225	35741
375	107541	35465
376	107751	35155
377	108054	34874
378	108364	34596
379	108654	34311
380	108942	34026
381	109245	33746
382	109522	33457
383	109829	33177
384	110048	32871
385	110309	32578
386	110535	32275
387	110813	31987
388	111089	31699
389	111353	31407
390	111615	31115
391	111912	30833
392	112211	30551
393	112507	30268
394	112784	29980
395	113049	29689
396	113329	29402
397	113599	29113
398	113855	28820
399	114127	28531
400	114398	28243
401	114756	27975
402	115035	27688
403	115285	27394
404	115610	27118
405	115883	26830
406	116182	26547
407	116468	26262
408	116782	25983
409	117093	25703
410	117400	25422
411	117666	25132
412	117953	24847
413	118244	24562
414	118549	24281
415	118825	23993
416	119098	23705
417	119374	23417
418	119657	23131
419	119953	22848
420	120226	22560
421	120523	22276
422	120794	21988
423	121075	21702
424	121360	21416
425	121640	21129
426	121899	20840
427	122191	20555
428	122439	20263
429	122724	19978
430	123010	19693
431	123275	19404
432	123513	19111
433	123788	18824
434	124061	18537
435	124386	18258
436	124657	17971
437	124919	17682
438	125258	17404
439	125512	17115
440	125822	16833
441	126071	16543
442	126368	16259
443	126654	15974
444	126938	15689
445	127227	15404
446	127570	15125
447	127847	14839
448	128130	14553
449	128375	14263
450	128668	13979
451	128977	13696
452	129286	13413
453	129554	13126
454	129850	12842
455	130122	12555
456	130412	12270
457	130666	11982
458	130996	11701
459	131278	11415
460	131517	11126
461	131702	10832
462	132039	10551
463	132312	10265
464	132558	9977
465	132823	9690
466	133104	9405
467	133327	9116
468	133591	8830
469	133814	8541
470	134064	8254
471	134319	7968
472	134628	7684
473	134920	7400
474	135272	7119
475	135534	6833
476	135819	6548
477	136101	6264
478	136336	5977
479	136576	5690
480	136858	5406
481	137154	5121
482	137408	4836
483	137740	4553
484	138034	4269
485	138312	3984
486	138597	3699
487	138849	3414
488	139111	3129
489	139389	2844
490	139689	2560
491	139970	2275
492	140293	1991
493	140583	1707
494	140866	1422
495	141196	1138
496	141497	854
497	141751	569
498	142016	284
499	142316	0
